Scarpe,Categoria,Prezzo reale,Prezzo scontato,Materiale,In sconto,Materiale_pulito,Macro_categoria,Micro_categoria,Brand
Sailview Lace,Scarpe da uomo,90.0,90.0,Nabuk marrone chiaro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Craft Swift,Scarpe sportive da uomo,120.0,120.0,Pelle Bianca,False,Pelle,Sneakers,Sneakers basse,C
Atticus LT Lace,Scarpe da uomo,100.0,100.0,Nero,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Torhill Lo,Scarpe da uomo,120.0,120.0,Camoscio Sabbia Scuro,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Batcombe Tie,Scarpe da uomo,120.0,120.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Atticus LT Lace,Scarpe da uomo,100.0,100.0,Pelle marrone chiaro scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Torhill Lo,Scarpe da uomo,120.0,120.0,Camoscio nero,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Kerton Lace,Scarpe da uomo,89.95,89.95,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Home Mocc Slipper,Pantofole da Uomo,69.95,69.95,Pelle scamosciata marrone chiaro,False,Pelle,Ciabatte & Pantofole,Pantofole,C
Home Mocc Slipper,Pantofole da Uomo,69.95,69.95,Pelle Scamosciata Blu Scuro,False,Pelle,Ciabatte & Pantofole,Pantofole,C
Harston Elite Slipper,Pantofole da Uomo,95.0,95.0,Pelle nera,False,Pelle,Ciabatte & Pantofole,Pantofole,C
Un Costa Lace,Scarpe sportive da uomo,129.0,129.0,Pelle Bianca,False,Pelle,Sneakers,Sneakers basse,C
Cotrell Edge,Scarpe da uomo,80.0,80.0,Pelle liscia nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Un Abode Go Loafer,Scarpe da uomo,139.0,139.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Un Abode Strap Loafer,Scarpe da uomo,130.0,130.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Cotrell Free,Scarpe da uomo,80.0,80.0,Pelle Tabacco,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Nature Three,Scarpe da uomo,140.0,140.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Nature Three,Scarpe da uomo,140.0,140.0,Pelle di mogano,False,Pelle,Scarpe eleganti,Stringate / Derby,C
