Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore,Macro_categoria,Micro_categoria
C,Sneaker,Sneakers basse,139.98,118.95,True,navy leather,Sneakers,Sneakers basse
G,Vittour Plus A,Sneakers basse,90.0,90.0,False,off white-dark grey,Sneakers,Sneakers basse
C,Un Aldric Lace,Stringate eleganti,113.99,113.99,False,black,Scarpe eleganti,Stringate / Derby
C,Wallabee,Stringate sportive,149.99,89.99,True,blue/green,Sneakers,Sneakers basse
G,Sneaker Spherica Plus,Sneakers basse,109.9,109.9,False,weiß,Sneakers,Sneakers basse
G,Sedral Court,Sneakers basse,119.9,119.9,False,navy white,Sneakers,Sneakers basse
C,Wallabee Evo,Stringate,92.12,92.12,False,white leather,Scarpe eleganti,Stringate / Derby
G,Black,Scarpe senza lacci,139.9,139.9,False,,Sneakers,Sneakers basse
G,Regio,Sneakers basse,139.9,139.9,False,coffee,Sneakers,Sneakers basse
G,Siron,Scarpe senza lacci,99.99,89.99,True,dark brown,Sneakers,Sneakers basse
G,Sedral Court,Sneakers basse,119.9,119.9,False,white/tan,Sneakers,Sneakers basse
G,Monet,Mocassini,129.99,116.99,True,coffee,Mocassini,Mocassini
C,Lockford Boat,Stringate sportive,90.0,90.0,False,blau,Sneakers,Sneakers basse
G,Spherica,Stivaletti,139.9,110.0,True,black,Stivali & Stivaletti,Stivaletti
G,Erice,Ciabattine,69.9,69.9,False,coffee,Ciabatte & Pantofole,Ciabatte
C,Dark Sand Combi,Scarpe da barca,118.94,118.94,False,,Mocassini,Boat shoes
G,Deiven,Sneakers basse,81.95,81.95,False,black,Sneakers,Sneakers basse
G,Spherica,Scarpe senza lacci,129.9,129.9,False,black,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,99.95,99.95,False,military coffee,Sneakers,Sneakers basse
C,Desert Bt Evo,Stivaletti stringati,134.84,134.84,False,noir,Stivali & Stivaletti,Stivaletti
G,Spherica,Scarpe senza lacci,135.0,135.0,False,navy,Sneakers,Sneakers basse
G,Aerantis Plus,Sneakers basse,149.99,126.99,True,navy,Sneakers,Sneakers basse
G,Claro,Sandali da trekking,79.9,79.9,False,marron claro,Sandali,Sandali sportivi
G,Strada,Sandali da trekking,79.9,79.9,False,navy/dark grey,Sandali,Sandali sportivi
G,Black,Stivaletti stringati,149.9,109.95,True,,Stivali & Stivaletti,Stivaletti
G,Baltmoore,Sneakers basse,99.9,99.9,False,light olive green,Sneakers,Sneakers basse
G,Massimiano,Stivaletti,109.9,81.95,True,navy uhbc,Stivali & Stivaletti,Stivaletti
G,Flextride S,Ciabattine,89.99,75.99,True,black,Ciabatte & Pantofole,Ciabatte
G,Barberigo,Stringate,145.0,145.0,False,cognac,Scarpe eleganti,Stringate / Derby
C,Schuhe Radwell Tie,Sneakers basse,99.95,99.95,False,brown leather,Sneakers,Sneakers basse
G,Parnaiba,Ciabattine,79.99,79.99,False,black,Ciabatte & Pantofole,Ciabatte
G,Black,Sneakers basse,149.9,149.9,False,,Sneakers,Sneakers basse
G,Walk Pleasure B,Stringate,169.9,169.9,False,cognac,Scarpe eleganti,Stringate / Derby
G,Medos,Mocassini eleganti,199.9,199.9,False,coffee,Mocassini,Mocassini
G,Capitale,Stringate eleganti,199.9,199.9,False,black,Scarpe eleganti,Stringate / Derby
G,Ghita,Ciabattine,89.9,89.9,False,coffee,Ciabatte & Pantofole,Ciabatte
C,Craftrally Ace,Sneakers basse,109.95,109.95,False,black sde,Sneakers,Sneakers basse
G,Elver,Sneakers basse,114.99,114.99,False,azul,Sneakers,Sneakers basse
G,Renan,Sneakers basse,119.9,119.9,False,braun,Sneakers,Sneakers basse
G,Spherica Ec1,Stivaletti,90.93,90.93,False,navy,Stivali & Stivaletti,Stivaletti
G,Spherica Actif,Sneakers basse,119.9,119.9,False,navy,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,orange/black,Sneakers,Sneakers basse
C,Meare Walla,Stringate sportive,109.99,98.99,True,black,Sneakers,Sneakers basse
G,Dove Grey,Mocassini,99.0,84.0,True,,Mocassini,Mocassini
G,Recanati,Mocassini eleganti,119.9,119.9,False,coffee,Mocassini,Mocassini
G,Elver,Sneakers basse,114.99,114.99,False,marron,Sneakers,Sneakers basse
G,White Brown C,Sneakers basse,110.45,110.45,False,,Sneakers,Sneakers basse
G,Istria,Mocassini,99.9,99.9,False,dark brown,Mocassini,Mocassini
G,Affile,Sneakers basse,114.99,114.99,False,blanco,Sneakers,Sneakers basse
G,Sedral Court,Sneakers basse,119.9,119.9,False,navy,Sneakers,Sneakers basse
G,Serifos C1Z5Y,Sneakers basse,89.9,89.9,False,white dim,Sneakers,Sneakers basse
C,Aldwin,Stringate,124.99,124.99,False,grey,Scarpe eleganti,Stringate / Derby
NG,Bianco,Sneakers basse,159.0,143.1,True,,Sneakers,Sneakers basse
G,Rieti,Sneakers basse,81.0,81.0,False,grau,Sneakers,Sneakers basse
G,Snake Original,Sneakers basse,109.9,109.9,False,grey,Sneakers,Sneakers basse
C,Weaver,Stringate sportive,159.99,159.99,False,maple,Sneakers,Sneakers basse
G,Avery,Sneakers basse,89.9,89.9,False,light grey,Sneakers,Sneakers basse
G,Sedral Court,Sneakers basse,119.9,119.9,False,papyrus light sand,Sneakers,Sneakers basse
G,Walee,Sneakers basse,89.9,89.9,False,mottled light gre,Sneakers,Sneakers basse
G,Snake Original,Sneakers basse,109.0,87.2,True,sand,Sneakers,Sneakers basse
G,Affile,Sneakers basse,114.99,114.99,False,azul,Sneakers,Sneakers basse
C,Torhill Lace,Sneakers basse,119.95,119.95,False,ochre suede,Sneakers,Sneakers basse
NG,Mocassini,Scarpe senza lacci,165.0,165.0,False,blu,Sneakers,Sneakers basse
G,Ravex,Sneakers basse,89.9,89.9,False,screziato mottled black,Sneakers,Sneakers basse
G,Sedral Court,Sneakers basse,119.9,119.9,False,navy,Sneakers,Sneakers basse
G,Velletri,Sneakers basse,139.9,139.9,False,black,Sneakers,Sneakers basse
G,Medos,Scarpe senza lacci,199.9,199.9,False,black,Sneakers,Sneakers basse
G,Spherica Ecub,Scarpe senza lacci,119.9,119.9,False,toffee,Sneakers,Sneakers basse
G,Meiern,Stivaletti stringati,129.99,96.99,True,black,Stivali & Stivaletti,Stivaletti
G,Renan,Sneakers basse,119.9,119.9,False,black,Sneakers,Sneakers basse
G,Jeans C,Scarpe da barca,99.9,99.9,False,,Mocassini,Boat shoes
G,Velletri,Sneakers basse,139.9,139.9,False,navy,Sneakers,Sneakers basse
G,Avery,Sneakers basse,79.9,79.9,False,brown cotto,Sneakers,Sneakers basse
G,Navy C,Sneakers basse,98.72,98.72,False,,Sneakers,Sneakers basse
G,Flextride R,Sneakers basse,99.9,99.9,False,dark blue,Sneakers,Sneakers basse
C,Weaver,Stringate sportive,159.99,159.99,False,pink,Sneakers,Sneakers basse
C,Beige,Stivaletti stringati,119.95,119.95,False,,Stivali & Stivaletti,Stivaletti
G,Vittour,Sneakers basse,89.9,89.9,False,screziato-mottled black,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,89.9,89.9,False,dove grey,Sneakers,Sneakers basse
G,Kosmopolis  Grip,Scarpe da barca,119.9,119.9,False,olive,Mocassini,Boat shoes
C,Sneaker Craftwick,Sneakers basse,129.98,116.95,True,grau,Sneakers,Sneakers basse
G,Kosmopolis  Grip,Scarpe da barca,89.99,89.99,False,navy,Mocassini,Boat shoes
G,Gxrn-02,Sneakers basse,135.0,135.0,False,weiß,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,lime/green/navy,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,99.95,99.95,False,navy/avio,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,107.0,True,navy,Sneakers,Sneakers basse
G,Blau,Ciabattine,79.9,79.9,False,,Ciabatte & Pantofole,Ciabatte
G,Serifos,Mocassini,109.9,109.9,False,dark blue,Mocassini,Mocassini
G,Baltmoore,Sneakers basse,113.35,113.35,False,musk c,Sneakers,Sneakers basse
G,Vittour,Sneakers basse,99.9,99.9,False,black,Sneakers,Sneakers basse
G,Pove,Stivaletti stringati,164.16,113.56,True,dark brown,Stivali & Stivaletti,Stivaletti
G,Moner W,Mocassini,139.9,139.9,False,black,Mocassini,Mocassini
G,Musk Black Cbb,Sandali da trekking,70.4,70.4,False,,Sandali,Sandali sportivi
C,Sneaker Solevana Style,Sneakers basse,85.0,85.0,False,black,Sneakers,Sneakers basse
G,Spherica Ecub,Sneakers basse,139.9,139.9,False,navy,Sneakers,Sneakers basse
G,Renan,Sneakers basse,119.9,119.9,False,white,Sneakers,Sneakers basse
NG,Neve,Sneakers basse,189.9,150.95,True,,Sneakers,Sneakers basse
G,Renan,Sneakers basse,119.9,119.9,False,navy,Sneakers,Sneakers basse
G,Urbanglider,Sneakers basse,125.0,125.0,False,musc,Sneakers,Sneakers basse
C,Walla Boot,Stivaletti stringati,119.99,119.99,False,white,Stivali & Stivaletti,Stivaletti
G,Flextride S,Sandali da trekking,89.9,89.9,False,navy,Sandali,Sandali sportivi
G,Blackc,Stivaletti,119.9,99.95,True,,Stivali & Stivaletti,Stivaletti
G,Flextride S,Sandali da trekking,89.9,89.9,False,dove grey,Sandali,Sandali sportivi
G,Pantelleria,Scarpe senza lacci,89.9,89.9,False,dove grey,Sneakers,Sneakers basse
G,Aerantis Plus,Sneakers basse,149.9,149.9,False,coffee,Sneakers,Sneakers basse
C,Sneaker Bassa Uomo Lockford Lace,Scarpe skate,100.0,100.0,False,grigio,Sneakers,Sneakers basse
G,Flextride R,Sneakers basse,99.9,99.9,False,screziato-mottled black,Sneakers,Sneakers basse
